Ano,Município,Parcela_das_moradias_sem_banheiro_de_uso_exclusivo,Parcela_da_população_que_não_recebe_água_com_regularidade_adequada,Parcela_da_população_total_que_mora_em_domicílios_sem_acesso_à_água_tratada,Volume_de_água_consumida_per_capita,Volume_de_esgoto_coletado,Volume_de_esgoto_tratado,Volume_de_esgoto_não_tratado,Tarifa_média_de_água,Tarifa_média_de_coleta_de_esgoto,Tarifa_média_ponderada_dos_serviços_de_saneamento,Custo_total_dos_operadores_com_os_serviços_de_saneamento,Custo_total_dos_operadores_com_produtos_químicos,Custo_total_dos_operadores_com_energia_elétrica,Internações_por_doenças_associadas_à_falta_de_saneamento,Taxa_de_incidência_de_internações_por_doenças_associadas_à_falta_de_saneamento,Atraso_escolar_das_pessoas_que_moram_em_residências_com_saneamento_básico,Atraso_escolar_das_pessoas_que_moram_em_residências_sem_saneamento,Investimentos_per_capita_em_saneamento,Renda_induzida_gerada_pelas_operação_de_saneamento,Renda_total_gerada_pelas_operação_de_saneamento,Redução_dos_custos_com_a_saúde
2019,Ji-Paraná (Município),0.0,-,0.334,88.15,-,-,-,3.39,-,3.39,16093056.92,1143585.54,1572822.74,129.0,10.0,0.77,4.66,12.76,6758303.05,22591267.53,-
2018,Ji-Paraná (Município),0.0,-,0.336,86.52,0.0,0.0,4039.43,3.49,-,3.49,13092484.02,581055.71,1292622.7,183.0,14.31,0.78,4.74,47.45,6731377.11,22501261.05,-
2017,Ji-Paraná (Município),0.0,-,0.381,82.18,0.0,0.0,3979.23,3.47,0.0,3.47,20895741.91,709954.39,1254593.44,173.0,13.04,0.92,5.01,241.32,6725983.06,22483230.12,-
2016,Ji-Paraná (Município),0.0,-,0.475,87.8,0.0,0.0,4216.0,3.5,0.0,3.5,12378969.17,496718.13,1431474.22,547.0,41.58,1.08,5.29,5.15,6925328.91,23149591.98,-
2015,Ji-Paraná (Município),0.0,-,0.415,92.43,0.0,0.0,4399.83,3.46,0.0,3.46,10818170.37,500463.94,1223939.23,476.0,36.5,1.26,5.58,11.01,7133899.72,23846790.5,-
2014,Ji-Paraná (Município),0.0,-,0.485,90.28,0.0,0.0,4258.67,3.8,0.0,3.8,9768630.74,347720.8,1088096.49,627.0,48.51,1.47,5.89,31.84,8171653.54,27315734.4,-
2013,Ji-Paraná (Município),0.002,-,0.526,83.26,0.0,0.0,3890.56,3.74,0.0,3.74,8976107.4,270303.2,1014520.36,875.0,68.35,1.72,6.22,7.77,8505917.17,28433091.71,-
2012,Ji-Paraná (Município),0.014,-,0.49,90.83,0.0,0.0,3915.08,3.8,0.0,3.8,10229695.56,245966.66,1085994.75,498.0,42.17,2.01,6.56,96.97,8694624.11,29063890.43,-
2011,Ji-Paraná (Município),0.027,-,0.487,90.01,0.0,0.0,3855.63,3.75,0.0,3.75,8395818.96,286818.82,1001279.96,572.0,48.74,2.36,6.93,117.63,9137411.06,30544013.22,-
2010,Ji-Paraná (Município),0.039,-,0.443,81.39,0.0,0.0,3464.0,3.64,0.0,3.64,13015617.71,229310.92,888025.02,1025.0,87.9,2.75,7.31,4.37,8920535.71,29819054.75,-
