Ano,Município,Parcela_das_moradias_sem_banheiro_de_uso_exclusivo,Parcela_da_população_que_não_recebe_água_com_regularidade_adequada,Parcela_da_população_total_que_mora_em_domicílios_sem_acesso_à_água_tratada,Volume_de_água_consumida_per_capita,Volume_de_esgoto_coletado,Volume_de_esgoto_tratado,Volume_de_esgoto_não_tratado,Tarifa_média_de_água,Tarifa_média_de_coleta_de_esgoto,Tarifa_média_ponderada_dos_serviços_de_saneamento,Custo_total_dos_operadores_com_os_serviços_de_saneamento,Custo_total_dos_operadores_com_produtos_químicos,Custo_total_dos_operadores_com_energia_elétrica,Internações_por_doenças_associadas_à_falta_de_saneamento,Taxa_de_incidência_de_internações_por_doenças_associadas_à_falta_de_saneamento,Atraso_escolar_das_pessoas_que_moram_em_residências_com_saneamento_básico,Atraso_escolar_das_pessoas_que_moram_em_residências_sem_saneamento,Investimentos_per_capita_em_saneamento,Renda_induzida_gerada_pelas_operação_de_saneamento,Renda_total_gerada_pelas_operação_de_saneamento,Redução_dos_custos_com_a_saúde
2019,Conde (Município),0.0,-,0.441,50.75,-,-,-,4.4,-,4.4,3069208.45,14019.71,309210.55,35,14.19,-,1.65,86.4,1195903.04,3997596.04,-
2018,Conde (Município),0.007,-,0.435,69.54,0,0,617.36,4.5,-,4.5,2748218.01,12935.99,623949.58,12,4.93,-,1.66,19.94,1162000.29,3884267.89,-
2017,Conde (Município),0.017,-,0.442,89.46,0,0,808.8,3.82,0,3.82,2630134.69,10941.61,513992.63,12,4.84,0,1.92,0.19,1259267.06,4209405.64,-
2016,Conde (Município),0.028,-,0.447,89.37,0,0,795.24,2.31,0,2.31,2855433.16,4058.66,485269.86,54,22.15,0,2.22,80.49,1045049.74,3493332.28,-
2015,Conde (Município),0.038,-,0.445,66.58,0,0,582.66,3.36,0,3.36,1851541.78,8048.22,321255.51,26,10.84,0,2.57,50.27,1035138.39,3460201.21,-
2014,Conde (Município),0.049,-,0.44,93.05,0,0,800,2.86,0,2.86,1809370.15,9522.88,274392.09,33,14.01,0,2.96,290.3,861929.55,2881208.63,-
2013,Conde (Município),0.059,-,0.441,100.54,0,0,848.24,2.68,0,2.68,1359432.71,9915.11,185280.22,23,9.95,0,3.43,108.1,846500.11,2829631.99,-
2012,Conde (Município),0.069,-,0.664,75.05,0,0,606.85,2.5,0,2.5,1174049.88,6123.31,310758.13,67,30.24,0,3.96,0.0,904933.78,3024960.71,-
2011,Conde (Município),0.08,-,0.397,53.51,0,0,425.47,2.36,0,2.36,1684397.98,30575.75,405069.64,39,17.9,0,4.58,0.0,842577.33,2816519.12,-
2010,Conde (Município),0.09,-,0.43,52.68,0,0,411.49,2.1,0,2.1,1465733.33,0.0,0.0,61,28.5,4.89,5.29,0.0,800724.87,2676617.13,-
2019,Lucena (Município),0.0,-,0.014,90.8,-,-,-,4.19,-,4.19,1610038.8,32643.71,179898.24,14,10.7,1.49,2.49,761.24,1045308.17,3494196.15,-
