Ano,Município,Parcela_das_moradias_sem_banheiro_de_uso_exclusivo,Parcela_da_população_que_não_recebe_água_com_regularidade_adequada,Parcela_da_população_total_que_mora_em_domicílios_sem_acesso_à_água_tratada,Volume_de_água_consumida_per_capita,Volume_de_esgoto_coletado,Volume_de_esgoto_tratado,Volume_de_esgoto_não_tratado,Tarifa_média_de_água,Tarifa_média_de_coleta_de_esgoto,Tarifa_média_ponderada_dos_serviços_de_saneamento,Custo_total_dos_operadores_com_os_serviços_de_saneamento,Custo_total_dos_operadores_com_produtos_químicos,Custo_total_dos_operadores_com_energia_elétrica,Internações_por_doenças_associadas_à_falta_de_saneamento,Taxa_de_incidência_de_internações_por_doenças_associadas_à_falta_de_saneamento,Atraso_escolar_das_pessoas_que_moram_em_residências_com_saneamento_básico,Atraso_escolar_das_pessoas_que_moram_em_residências_sem_saneamento,Investimentos_per_capita_em_saneamento,Renda_induzida_gerada_pelas_operação_de_saneamento,Renda_total_gerada_pelas_operação_de_saneamento,Redução_dos_custos_com_a_saúde
2019,Belo Horizonte (Município),0,0.015,0.05,151.63,108635.54,108635.54,30395.57,5.91,5.42,5.67,1067799760.22,19499136.22,99337573.71,2927,11.65,1.18,1.67,29.55,622090611.47,2079488789.35,-
2018,Belo Horizonte (Município),0.003,0.002,0.047,149.95,106602.58,106602.58,30309.67,5.42,4.98,5.2,882808423.32,18277894.6,95434610.27,752,3.01,1.17,1.65,30.58,568456921.87,1900205170.23,0.098
2017,Belo Horizonte (Município),0.005,0.002,0.056,150.63,107176.61,105954.69,32801.86,4.2,3.83,4.02,808955961.36,14460548.58,70819450.07,842,3.34,1.38,1.9,41.17,458641803.8,1533121496.68,-
2016,Belo Horizonte (Município),0.006,0.002,0.05,152.19,106553.41,100743.42,38873.52,4.51,4.05,4.29,979238436.09,18832835.54,85519713.54,3117,12.4,1.63,2.19,41.14,521748165.88,1744069821.68,-
2015,Belo Horizonte (Município),0.008,-,0.051,151.59,105201.19,97281.05,41183.57,3.81,3.43,3.62,957465726.84,12482429.31,93947871.08,1169,4.67,1.92,2.52,178.74,491078488.45,1641548984.35,-
2014,Belo Horizonte (Município),0.01,-,0,170.93,117816.25,106392.68,49022.39,3.6,3.22,3.41,831487710.64,12232350.26,63160468.01,1010,4.05,2.27,2.9,64.76,549154525.13,1835682226.31,-
2013,Belo Horizonte (Município),0.012,-,0,176.11,120242.67,107399.7,51963.37,3.46,3.11,3.29,790804969.9,10500406.52,55825527.84,1620,6.53,2.67,3.35,73.24,578325008.25,1933191642.96,-
2012,Belo Horizonte (Município),0.013,-,0,181.29,119057.53,102219.64,56312.57,3.35,2.85,3.11,790137249.7,9568373.84,62961331.98,979,4.09,3.15,3.85,96.01,579973989.85,1938703764,-
2011,Belo Horizonte (Município),0.015,-,0,180.82,118953.8,93019.57,64432.46,3.34,2.36,2.86,700147680.39,9367179.15,58892289.24,1020,4.28,3.71,4.44,76.06,574884529.72,1921691008.81,-
2010,Belo Horizonte (Município),0.017,-,0,177.51,116289.22,84748.2,69141.54,3.34,2.02,2.7,677733365.41,9527286.24,56515549.89,1995,8.4,4.37,5.12,102.68,572592427.6,1914029101.41,-
